node1,node2,label,score_PA,score_CN,score_JC,score_AA,score_RA,score_COMB
G_6640,D_ORPHA:101016,1,12.0,0.0,0.0,0.0,0.0,0.000814848347668536
G_3039,D_OMIM:604131,1,9.0,1.0,0.25,0.45511961331341866,0.1111111111111111,0.004866455409642303
G_10735,D_OMIM:271700,0,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_10522,D_OMIM:615828,1,0.0,0.0,0.0,0.0,0.0,0.0
G_2583,D_OMIM:609195,1,0.0,0.0,0.0,0.0,0.0,0.0
G_29954,D_ORPHA:71526,0,7.0,0.0,0.0,0.0,0.0,0.00047532820280664606
G_79809,D_OMIM:613819,1,0.0,0.0,0.0,0.0,0.0,0.0
G_23607,D_OMIM:613496,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_7534,D_ORPHA:502,0,6.0,0.0,0.0,0.0,0.0,0.000407424173834268
G_80781,D_OMIM:267750,1,0.0,0.0,0.0,0.0,0.0,0.0
G_6499,D_OMIM:214100,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_374654,D_ORPHA:2754,1,30.0,0.0,0.0,0.0,0.0,0.0020371208691713403
G_4151,D_ORPHA:75496,0,0.0,0.0,0.0,0.0,0.0,0.0
G_388552,D_ORPHA:231531,1,3.0,0.0,0.0,0.0,0.0,0.000203712086917134
G_2558,D_ORPHA:442835,1,42.0,0.0,0.0,0.0,0.0,0.0028519692168398766
G_50640,D_OMIM:613710,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_51738,D_OMIM:601665,1,0.0,0.0,0.0,0.0,0.0,0.0
G_135,D_OMIM:600195,0,0.0,0.0,0.0,0.0,0.0,0.0
G_2652,D_OMIM:303700,1,0.0,0.0,0.0,0.0,0.0,0.0
G_974,D_OMIM:612692,1,0.0,0.0,0.0,0.0,0.0,0.0
G_1644,D_ORPHA:93384,0,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_673,D_ORPHA:54595,1,13.0,1.0,0.014285714285714285,0.36067376022224085,0.0625,0.005138071525531815
G_429,D_OMIM:617752,0,0.0,0.0,0.0,0.0,0.0,0.0
G_1213,D_ORPHA:319308,1,24.0,0.0,0.0,0.0,0.0,0.001629696695337072
G_170692,D_OMIM:604173,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_6331,D_ORPHA:324422,0,0.0,0.0,0.0,0.0,0.0,0.0
G_4680,D_OMIM:277900,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_10058,D_ORPHA:168577,0,11.0,0.0,0.0,0.0,0.0,0.000746944318696158
G_22861,D_OMIM:618803,1,0.0,0.0,0.0,0.0,0.0,0.0
G_93,D_OMIM:613751,1,0.0,0.0,0.0,0.0,0.0,0.0
G_6442,D_OMIM:619523,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_4854,D_OMIM:130720,1,0.0,0.0,0.0,0.0,0.0,0.0
G_84947,D_OMIM:614739,1,0.0,0.0,0.0,0.0,0.0,0.0
G_64327,D_ORPHA:93405,1,6.0,1.0,1.0,0.3789231816899512,0.07142857142857142,0.004662743322725169
G_55651,D_OMIM:613987,1,0.0,0.0,0.0,0.0,0.0,0.0
G_270,D_OMIM:615511,1,0.0,0.0,0.0,0.0,0.0,0.0
G_89,D_OMIM:211350,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_10,D_OMIM:243400,1,0.0,0.0,0.0,0.0,0.0,0.0
G_51422,D_ORPHA:439854,1,0.0,0.0,0.0,0.0,0.0,0.0
G_348932,D_ORPHA:42062,1,0.0,0.0,0.0,0.0,0.0,0.0
G_60493,D_OMIM:267430,0,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_11133,D_ORPHA:397612,1,0.0,0.0,0.0,0.0,0.0,0.0
G_23404,D_OMIM:617763,1,0.0,0.0,0.0,0.0,0.0,0.0
G_51604,D_OMIM:615398,1,0.0,0.0,0.0,0.0,0.0,0.0
G_57531,D_ORPHA:464282,1,0.0,0.0,0.0,0.0,0.0,0.0
G_6335,D_ORPHA:36387,1,72.0,0.0,0.0,0.0,0.0,0.004889090086011217
G_1200,D_OMIM:609270,1,0.0,0.0,0.0,0.0,0.0,0.0
G_54101,D_OMIM:615228,0,0.0,0.0,0.0,0.0,0.0,0.0
G_2892,D_ORPHA:364028,1,0.0,0.0,0.0,0.0,0.0,0.0
G_55384,D_ORPHA:254528,1,8.0,2.0,1.0,1.2426698691192237,0.4,0.009053870529560826
G_113220,D_OMIM:619662,1,0.0,0.0,0.0,0.0,0.0,0.0
G_699,D_OMIM:114500,1,22.0,0.0,0.0,0.0,0.0,0.001493888637392316
G_157657,D_ORPHA:110,1,105.0,3.0,0.0297029702970297,2.152909095746061,0.7333333333333334,0.019895880488772392
G_4157,D_OMIM:613811,0,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_22808,D_ORPHA:31837,0,0.0,0.0,0.0,0.0,0.0,0.0
G_7072,D_ORPHA:603,1,0.0,0.0,0.0,0.0,0.0,0.0
G_2916,D_OMIM:201475,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_8647,D_OMIM:601847,1,0.0,0.0,0.0,0.0,0.0,0.0
G_7920,D_OMIM:261550,0,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_8898,D_ORPHA:99955,1,0.0,0.0,0.0,0.0,0.0,0.0
G_80155,D_OMIM:617787,1,0.0,0.0,0.0,0.0,0.0,0.0
G_146227,D_OMIM:117210,1,0.0,0.0,0.0,0.0,0.0,0.0
G_1738,D_OMIM:240800,0,0.0,0.0,0.0,0.0,0.0,0.0
G_54806,D_ORPHA:475,1,34.0,1.0,0.05263157894736842,0.6213349345596119,0.2,0.006564056133951753
G_91039,D_ORPHA:2032,1,0.0,0.0,0.0,0.0,0.0,0.0
G_1528,D_ORPHA:621,1,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_9326,D_ORPHA:247834,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_5192,D_OMIM:614871,1,0.0,0.0,0.0,0.0,0.0,0.0
G_2057,D_ORPHA:90042,1,0.0,0.0,0.0,0.0,0.0,0.0
G_2674,D_OMIM:613643,0,0.0,0.0,0.0,0.0,0.0,0.0
G_57520,D_OMIM:617268,1,0.0,0.0,0.0,0.0,0.0,0.0
G_2299,D_OMIM:600791,1,2.0,1.0,0.5,0.6213349345596119,0.2,0.004391127206835657
G_55191,D_ORPHA:456369,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_6513,D_OMIM:614847,1,0.0,0.0,0.0,0.0,0.0,0.0
G_388939,D_OMIM:613428,1,0.0,0.0,0.0,0.0,0.0,0.0
G_5917,D_OMIM:236690,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_5328,D_ORPHA:238269,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_1824,D_ORPHA:293888,1,21.0,7.0,0.5833333333333334,4.330679222711821,1.3703703703703702,0.031213218650656245
G_2562,D_OMIM:609981,0,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_23495,D_OMIM:301119,0,3.0,0.0,0.0,0.0,0.0,0.000203712086917134
G_5962,D_OMIM:611022,1,0.0,0.0,0.0,0.0,0.0,0.0
G_147912,D_OMIM:301030,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_2131,D_ORPHA:55880,1,0.0,0.0,0.0,0.0,0.0,0.0
G_388698,D_OMIM:608716,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_79846,D_ORPHA:3047,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_170825,D_ORPHA:370924,0,0.0,0.0,0.0,0.0,0.0,0.0
G_3767,D_OMIM:601820,1,0.0,0.0,0.0,0.0,0.0,0.0
G_65057,D_OMIM:194190,0,10.0,0.0,0.0,0.0,0.0,0.00067904028972378
G_3077,D_ORPHA:280576,0,0.0,0.0,0.0,0.0,0.0,0.0
G_4810,D_OMIM:603218,0,5.0,0.0,0.0,0.0,0.0,0.00033952014486189
G_9630,D_ORPHA:16,0,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_673,D_ORPHA:626,1,52.0,2.0,0.027777777777777776,0.9163279467515955,0.22619047619047616,0.012041647804345457
G_51601,D_OMIM:619464,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_1788,D_OMIM:618392,0,0.0,0.0,0.0,0.0,0.0,0.0
G_8989,D_OMIM:615040,1,0.0,0.0,0.0,0.0,0.0,0.0
G_6768,D_OMIM:608931,0,3.0,0.0,0.0,0.0,0.0,0.000203712086917134
G_149233,D_ORPHA:117,1,22.0,0.0,0.0,0.0,0.0,0.001493888637392316
G_4478,D_ORPHA:168563,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_8988,D_ORPHA:306542,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_5626,D_ORPHA:95494,1,18.0,3.0,0.375,2.064029975448575,0.7,0.013988229968175506
G_8139,D_OMIM:256850,1,0.0,0.0,0.0,0.0,0.0,0.0
G_6657,D_ORPHA:98938,1,44.0,4.0,0.2222222222222222,3.455167549038401,1.1583333333333332,0.020009053870348237
G_3800,D_ORPHA:659396,0,0.0,0.0,0.0,0.0,0.0,0.0
G_22808,D_ORPHA:648,1,0.0,0.0,0.0,0.0,0.0,0.0
G_4719,D_OMIM:617524,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_5729,D_OMIM:607277,1,0.0,0.0,0.0,0.0,0.0,0.0
G_65250,D_ORPHA:65684,1,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_8936,D_ORPHA:247378,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_79659,D_ORPHA:217390,0,5.0,0.0,0.0,0.0,0.0,0.00033952014486189
G_440275,D_ORPHA:31837,1,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_55630,D_ORPHA:37,1,0.0,0.0,0.0,0.0,0.0,0.0
G_3117,D_ORPHA:391490,1,0.0,0.0,0.0,0.0,0.0,0.0
G_55148,D_OMIM:619705,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_7351,D_ORPHA:276556,1,0.0,0.0,0.0,0.0,0.0,0.0
G_402381,D_OMIM:218000,0,3.0,0.0,0.0,0.0,0.0,0.000203712086917134
G_51181,D_OMIM:615873,0,0.0,0.0,0.0,0.0,0.0,0.0
G_7508,D_OMIM:614231,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_388962,D_OMIM:614299,1,0.0,0.0,0.0,0.0,0.0,0.0
G_6892,D_ORPHA:656,0,54.0,0.0,0.0,0.0,0.0,0.003666817564508412
G_55164,D_OMIM:615963,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_7042,D_OMIM:601152,0,0.0,0.0,0.0,0.0,0.0,0.0
G_10020,D_OMIM:615277,0,5.0,0.0,0.0,0.0,0.0,0.00033952014486189
G_3798,D_ORPHA:100991,1,0.0,0.0,0.0,0.0,0.0,0.0
G_4863,D_ORPHA:52530,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_79158,D_OMIM:615422,0,3.0,0.0,0.0,0.0,0.0,0.000203712086917134
G_4318,D_OMIM:613073,1,0.0,0.0,0.0,0.0,0.0,0.0
G_11340,D_OMIM:616081,1,0.0,0.0,0.0,0.0,0.0,0.0
G_64377,D_ORPHA:329931,0,3.0,0.0,0.0,0.0,0.0,0.000203712086917134
G_100996717,D_ORPHA:263482,0,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_1281,D_OMIM:618343,1,0.0,0.0,0.0,0.0,0.0,0.0
G_9531,D_ORPHA:199340,1,0.0,0.0,0.0,0.0,0.0,0.0
G_3832,D_ORPHA:2526,1,0.0,0.0,0.0,0.0,0.0,0.0
G_2332,D_ORPHA:93256,1,0.0,0.0,0.0,0.0,0.0,0.0
G_3339,D_ORPHA:1606,1,20.0,0.0,0.0,0.0,0.0,0.00135808057944756
G_29895,D_OMIM:603278,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_4292,D_OMIM:609310,1,0.0,0.0,0.0,0.0,0.0,0.0
G_51102,D_OMIM:606243,0,0.0,0.0,0.0,0.0,0.0,0.0
G_183,D_OMIM:600501,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_3123,D_OMIM:620639,0,12.0,0.0,0.0,0.0,0.0,0.000814848347668536
G_1103,D_OMIM:167250,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_25792,D_OMIM:618240,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_56992,D_OMIM:619143,0,0.0,0.0,0.0,0.0,0.0,0.0
G_4811,D_OMIM:617184,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_3117,D_ORPHA:930,1,0.0,0.0,0.0,0.0,0.0,0.0
G_3747,D_ORPHA:192,0,0.0,0.0,0.0,0.0,0.0,0.0
G_3977,D_OMIM:601559,1,0.0,0.0,0.0,0.0,0.0,0.0
G_7716,D_OMIM:615219,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_2990,D_ORPHA:584,1,0.0,0.0,0.0,0.0,0.0,0.0
G_2131,D_OMIM:620666,0,0.0,0.0,0.0,0.0,0.0,0.0
G_1636,D_OMIM:614493,0,3.0,0.0,0.0,0.0,0.0,0.000203712086917134
G_3426,D_ORPHA:200418,1,0.0,0.0,0.0,0.0,0.0,0.0
G_7545,D_OMIM:616602,1,0.0,0.0,0.0,0.0,0.0,0.0
G_57393,D_OMIM:615817,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_9688,D_ORPHA:308638,0,0.0,0.0,0.0,0.0,0.0,0.0
G_652991,D_OMIM:125595,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_1536,D_OMIM:300645,1,0.0,0.0,0.0,0.0,0.0,0.0
G_84071,D_ORPHA:480528,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_10786,D_OMIM:616267,0,0.0,0.0,0.0,0.0,0.0,0.0
G_85446,D_ORPHA:562569,0,0.0,0.0,0.0,0.0,0.0,0.0
G_22,D_OMIM:301310,1,0.0,0.0,0.0,0.0,0.0,0.0
G_23676,D_ORPHA:90625,1,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_79728,D_OMIM:211800,0,6.0,0.0,0.0,0.0,0.0,0.000407424173834268
G_23262,D_OMIM:618422,1,0.0,0.0,0.0,0.0,0.0,0.0
G_7291,D_ORPHA:794,1,10.0,2.0,0.6666666666666666,0.6649052451649946,0.09903381642512077,0.009189678587505582
G_4537,D_ORPHA:255210,1,16.0,3.0,0.1,1.7375561876621064,0.5333333333333333,0.01385242191023075
G_3052,D_OMIM:615233,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_9455,D_OMIM:616707,1,0.0,0.0,0.0,0.0,0.0,0.0
G_56896,D_OMIM:612560,0,3.0,0.0,0.0,0.0,0.0,0.000203712086917134
G_1760,D_OMIM:154800,0,0.0,0.0,0.0,0.0,0.0,0.0
G_10683,D_OMIM:206100,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_6844,D_OMIM:618760,1,0.0,0.0,0.0,0.0,0.0,0.0
G_253827,D_ORPHA:98869,0,0.0,0.0,0.0,0.0,0.0,0.0
G_185,D_OMIM:145500,1,12.0,0.0,0.0,0.0,0.0,0.000814848347668536
G_57104,D_OMIM:610717,1,0.0,0.0,0.0,0.0,0.0,0.0
G_64764,D_ORPHA:79105,1,0.0,0.0,0.0,0.0,0.0,0.0
G_79813,D_OMIM:617046,0,0.0,0.0,0.0,0.0,0.0,0.0
G_1182,D_ORPHA:398088,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_91137,D_OMIM:614602,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_4621,D_ORPHA:93321,0,9.0,0.0,0.0,0.0,0.0,0.0006111362607514021
G_1326,D_OMIM:211980,1,0.0,0.0,0.0,0.0,0.0,0.0
G_3849,D_ORPHA:455,1,0.0,0.0,0.0,0.0,0.0,0.0
G_197322,D_OMIM:617903,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_10095,D_OMIM:617916,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_1748,D_OMIM:618723,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_79977,D_ORPHA:98973,1,8.0,0.0,0.0,0.0,0.0,0.0005432322317790241
G_166379,D_OMIM:606483,0,0.0,0.0,0.0,0.0,0.0,0.0
G_841,D_OMIM:607271,1,0.0,0.0,0.0,0.0,0.0,0.0
G_10159,D_OMIM:620044,0,5.0,0.0,0.0,0.0,0.0,0.00033952014486189
G_8943,D_OMIM:617050,1,0.0,0.0,0.0,0.0,0.0,0.0
G_51490,D_ORPHA:412069,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_1399,D_OMIM:616436,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_54551,D_ORPHA:98754,1,10.0,2.0,0.2222222222222222,1.279458146995729,0.41666666666666663,0.009189678587505582
G_718,D_ORPHA:280133,1,0.0,0.0,0.0,0.0,0.0,0.0
G_220,D_OMIM:264700,0,3.0,0.0,0.0,0.0,0.0,0.000203712086917134
G_2620,D_OMIM:263210,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_64388,D_OMIM:618761,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_1837,D_ORPHA:54260,1,12.0,0.0,0.0,0.0,0.0,0.000814848347668536
G_9719,D_OMIM:604218,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_79971,D_OMIM:607115,0,0.0,0.0,0.0,0.0,0.0,0.0
G_399,D_ORPHA:324294,1,0.0,0.0,0.0,0.0,0.0,0.0
G_5611,D_ORPHA:445062,1,0.0,0.0,0.0,0.0,0.0,0.0
G_8294,D_ORPHA:974,0,6.0,0.0,0.0,0.0,0.0,0.000407424173834268
G_28976,D_OMIM:618660,0,0.0,0.0,0.0,0.0,0.0,0.0
G_8626,D_OMIM:103285,1,0.0,0.0,0.0,0.0,0.0,0.0
G_5332,D_ORPHA:137888,1,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_58,D_ORPHA:98904,1,0.0,0.0,0.0,0.0,0.0,0.0
G_4233,D_ORPHA:47044,1,0.0,0.0,0.0,0.0,0.0,0.0
G_27241,D_OMIM:618660,0,0.0,0.0,0.0,0.0,0.0,0.0
G_63929,D_OMIM:613159,1,0.0,0.0,0.0,0.0,0.0,0.0
G_57728,D_ORPHA:3156,1,48.0,1.0,0.05263157894736842,0.5138983423697507,0.14285714285714285,0.007514712539565045
G_51750,D_OMIM:118300,0,0.0,0.0,0.0,0.0,0.0,0.0
G_23396,D_OMIM:619304,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_4558,D_OMIM:540000,1,34.0,7.0,0.35,4.53460052426439,1.4749999999999999,0.03209597102729716
G_375307,D_OMIM:615728,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_3198,D_ORPHA:69739,1,0.0,0.0,0.0,0.0,0.0,0.0
G_29925,D_ORPHA:370968,1,16.0,3.0,0.3333333333333333,1.4499163026461572,0.37896825396825395,0.01385242191023075
G_26100,D_OMIM:616801,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_10857,D_ORPHA:261250,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_7200,D_ORPHA:615983,0,0.0,0.0,0.0,0.0,0.0,0.0
G_6687,D_ORPHA:35689,1,0.0,0.0,0.0,0.0,0.0,0.0
G_10806,D_OMIM:615993,1,0.0,0.0,0.0,0.0,0.0,0.0
G_79947,D_OMIM:613861,1,0.0,0.0,0.0,0.0,0.0,0.0
G_6261,D_ORPHA:466650,1,0.0,0.0,0.0,0.0,0.0,0.0
G_6452,D_ORPHA:184,1,0.0,0.0,0.0,0.0,0.0,0.0
G_55773,D_OMIM:619376,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_84343,D_ORPHA:269505,0,4.0,0.0,0.0,0.0,0.0,0.00027161611588951204
G_9839,D_ORPHA:261552,1,0.0,0.0,0.0,0.0,0.0,0.0
G_1605,D_ORPHA:1143,0,8.0,0.0,0.0,0.0,0.0,0.0005432322317790241
G_3957,D_OMIM:608446,1,0.0,0.0,0.0,0.0,0.0,0.0
G_1795,D_ORPHA:528084,1,94.0,0.0,0.0,0.0,0.0,0.0063829787234035325
G_857,D_OMIM:133239,0,28.0,0.0,0.0,0.0,0.0,0.0019013128112265842
G_3758,D_OMIM:609284,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_6834,D_OMIM:220110,1,9.0,0.0,0.0,0.0,0.0,0.0006111362607514021
G_133396,D_OMIM:613955,1,0.0,0.0,0.0,0.0,0.0,0.0
G_50619,D_OMIM:619606,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_283209,D_ORPHA:31112,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_23418,D_ORPHA:791,1,372.0,7.0,0.08641975308641975,4.531622096911431,1.4694444444444443,0.05504753281996093
G_341640,D_OMIM:278730,0,0.0,0.0,0.0,0.0,0.0,0.0
G_5660,D_ORPHA:309271,1,8.0,1.0,0.5,0.7213475204444817,0.25,0.004798551380669925
G_84529,D_OMIM:621372,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_6598,D_ORPHA:2495,1,42.0,1.0,0.058823529411764705,0.48089834696298783,0.125,0.007107288365730777
G_729991,D_OMIM:620987,1,0.0,0.0,0.0,0.0,0.0,0.0
G_4762,D_OMIM:277180,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
G_5324,D_ORPHA:276148,1,3.0,1.0,0.3333333333333333,0.5581106265512472,0.16666666666666666,0.004459031235808035
G_144132,D_OMIM:266140,0,0.0,0.0,0.0,0.0,0.0,0.0
G_79228,D_OMIM:614557,0,0.0,0.0,0.0,0.0,0.0,0.0
G_55775,D_OMIM:607250,1,0.0,0.0,0.0,0.0,0.0,0.0
G_3242,D_OMIM:276710,1,0.0,0.0,0.0,0.0,0.0,0.0
G_675,D_ORPHA:84,1,238.0,3.0,0.04,1.9007930815553407,0.6166666666666667,0.028927116342098665
G_2805,D_OMIM:614419,1,0.0,0.0,0.0,0.0,0.0,0.0
G_51490,D_OMIM:619374,0,0.0,0.0,0.0,0.0,0.0,0.0
G_6439,D_ORPHA:685082,1,4.0,1.0,0.5,0.6213349345596119,0.2,0.004526935264780413
G_5155,D_ORPHA:1980,1,30.0,4.0,0.3076923076923077,3.6656030985244827,1.25,0.019058397464734943
G_11020,D_OMIM:613286,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_9791,D_OMIM:603902,0,2.0,0.0,0.0,0.0,0.0,0.00013580805794475602
G_3339,D_OMIM:224410,1,0.0,0.0,0.0,0.0,0.0,0.0
G_374462,D_OMIM:307200,0,0.0,0.0,0.0,0.0,0.0,0.0
G_6662,D_OMIM:308350,0,8.0,0.0,0.0,0.0,0.0,0.0005432322317790241
G_4593,D_OMIM:208150,1,0.0,0.0,0.0,0.0,0.0,0.0
G_58,D_ORPHA:171433,1,18.0,2.0,0.15384615384615385,1.424137568996588,0.47619047619047616,0.009732910819284606
G_23397,D_OMIM:617985,1,0.0,0.0,0.0,0.0,0.0,0.0
G_5192,D_ORPHA:247815,1,0.0,0.0,0.0,0.0,0.0,0.0
G_5495,D_OMIM:618463,0,1.0,0.0,0.0,0.0,0.0,6.790402897237801e-05
